title,authors,author_name,language,work_id,edition_information,publisher,num_pages,series_id,series_name,series_position,description
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,,Bill Bryson,eng,3419048,,Broadway Books,304,,,,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. <br /><br />Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away."
The Lost Continent: Travels in Small Town America,,Bill Bryson,eng,1888943,,William Morrow Paperbacks,299,,,,"'I come from Des Moines. Somebody had to'<br /><br />And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land.<br /><br />The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation."
Neither Here nor There: Travels in Europe,,Bill Bryson,eng,3164459,,William Morrow Paperbacks,254,287604,Bryson and Katz,1,"Bill Bryson's first travel book, <i>The Lost Continent</i>, was unanimously acclaimed as one of the funniest books in years. In <i>Neither Here nor There</i> he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before.<br /><br />Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein."
Notes from a Small Island,,Bill Bryson,eng,940892,,William Morrow Paperbacks,324,170130,Notes from a Small Island,1,"<b>""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.""</b><br /><br />After nearly two decades spent on British soil, Bill Bryson - bestselling author of <i>The Mother Tongue</i> and <i>Made in America</i>-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.<br /><br />Veering from the ludicrous to the endearing and back again, <i>Notes from a Small Island</i> is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
The Mother Tongue: English and How It Got That Way,,Bill Bryson,eng,2170063,,William Morrow Paperbacks,270,,,,"With dazzling wit and astonishing insight, Bill Bryson—the acclaimed author of <em>The Lost Continent</em>—brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat (why you can talk but your dog can't), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world's largest growth industries."
The Lord of the Rings: Weapons and Warfare,"[{'id': '5448409', 'name': 'Chris   Smith', 'role': 'Editor'}, {'id': '5325360', 'name': 'Christopher  Lee', 'role': 'Foreword'}, {'id': '10154', 'name': 'Richard Taylor', 'role': 'Contributor'}]",Chris   Smith,eng,4414,,Houghton Mifflin Harcourt,218,,,,"<p>Lavishly illustrated with 1,000 photos, paintings, maps, sculptures and sketches, most appearing here for the first time, Weapons and Warfare is an indispensable chronicle of The Lord of the Rings' many creatures, warriors, armies and battlegrounds. From the graceful and proficient Elves to the horrendous war machines of the Dark Lord, each culture's approach to warfare is explained - how they fought, why they were fighting, what armor they wore and what weapons they used against their enemies. Now you can get as close to a marauding Orc as you could ever wish, without suffering the consequences!</p><p>Treating the filmmakers' notes, designs and props as a true archive, Weapons and Warfare describes in detail every major conflict depicted in the film trilogy - from The Last Alliance of Elves and Men to the climactic Battle of the Pelennor Fields - each accompanied by a battle diagram from the films' chief designers.</p><p>Armed with a wealth of fascinating facts and unique imagery, and with an exclusive foreword by Christopher Lee and an introduction by the Academy Award winner Richard Taylor, Weapons and Warfare promises to be the most striking companion to The Lord of the Rings movie trilogy published to date.</p>"
The Lord of the Rings: Complete Visual Companion,,Jude Fisher,eng,4415,,Houghton Mifflin Harcourt,224,202353,The Lord of the Rings: Visual Companion,,"The official, fully authorized full-color guide to the characters, places, and landscapes of J.R.R. Tolkien's Middle-earth as depicted in The Lord of the Rings movie trilogy.<br /><br />Fully illustrated with almost 300 color photographs, including stunning new images from the extended director's versions of The Fellowship of the Ring and The Two Towers, and exclusive ""first-look"" shots from The Return of the King, this Complete Visual Companion now tells the whole tale of The Lord of the Rings in sumptuous detail.<br /><br />The many characters, creatures, and strange lands of Middle-earth encountered by the Fellowship of the Ring in their epic journey are here brought to life: from the magical Elven realms of Rivendell and Lothlorien to the abandoned Dwarven kingdom of Moria; from the wizard Saruman's stronghold at Isengard to the land of the Horse-lords, Rohan; from their last-ditch fortress at Helm's Deep to Minas Tirith, the city-kingdom of the proud Men of Gondor; from the haunted Paths of the Dead to the battlefields of Pelennor and the overrun city of Osgiliath; from Cirith Ungol and the Nazgul's tower of sorcery at Minas Morgul into the very heart of Mordor. Along the way our heroes will encounter Elves and Ents, Uruk-hai and Orcs, Trolls, and Haradrim on their towering war-elephants, the mumakil. The Companion introduces readers to the monstrous Shelob the spider, to the Corsairs of Umbar, and to that pitiful but deadly creature Gollum.<br /><br />This omnibus edition also includes brand-new sections appearing in print for the first time, which take the story of the quest of the Fellowship beyond Mount Doom, all the way to the hearbreaking finale at the Grey Havens."
The Lord of the Rings,"[{'id': '4941', 'name': 'Brian Sibley', 'role': 'Adapter'}, {'id': '656983', 'name': 'J.R.R. Tolkien', 'role': ''}, {'id': '10059', 'name': 'Michael Bakewell', 'role': 'Adapter'}]",Brian Sibley,eng,62400415,"abridged, BBC Radio Dramatisation, 13 CDs",,,,,,
Agile Web Development with Rails: A Pragmatic Guide,"[{'id': '13', 'name': 'Dave Thomas', 'role': ''}, {'id': '23587', 'name': 'David Heinemeier Hansson', 'role': ''}, {'id': '23590', 'name': 'Leon Breedt', 'role': ''}, {'id': '15118', 'name': 'Mike Clark', 'role': ''}, {'id': '8594411', 'name': 'Thomas  Fuchs', 'role': ''}, {'id': '8622940', 'name': 'Andreas  Schwarz', 'role': ''}]",Dave Thomas,eng,1699340,,Pragmatic Bookshelf,558,,,,"Rails is a full-stack, open source web framework that enables you to create full-featured, sophisticated web-based applications, but with a twist... A full Rails application probably has less total code than the XML you'd need to configure the same application in other frameworks. With this book you'll learn how to use ""ActiveRecord"" to connect business objects and database tables. No more painful object-relational mapping. Just create your business objects and let Rails do the rest. You'll learn how to use the ""Action Pack"" framework to route incoming requests and render pages using easy-to-write templates and components. See how to exploit the Rails service frameworks to send emails, implement web services, and create dynamic, user-centric web-pages using built-in Javascript and Ajax support. There are extensive chapters on testing, deployment, and scaling. You'll see how easy it is to install Rails using your web server of choice (such as Apache or lighttpd) or using its own included web server. You'll be writing applications that work with your favorite database (MySQL, Oracle, Postgres, and more) in no time at all. You'll create a complete online store application in the extended tutorial section, so you'll see how a full Rails application is developed---iteratively and rapidly. Rails strives to honor the Pragmatic Programmer's ""DRY Principle"" by avoiding the extra work of configuration files and code annotations. You can develop in real-time: make a change, and watch it work immediately. Forget XML. Everything in Rails, from templates to control flow to business logic, is written in Ruby, the language of choice for programmers who like to get the job done well (and leave work ontime for a change). Rails is the framework of choice for the new generation of Web 2.0 developers. Agile Web Development with Rails is the book for that generation, written by Dave Thomas (Pragmatic Programmer and author of Programming Ruby) and David Heinemeier Hansson, who created Rails."
Ruby Quickly: Ruby and Rails for the Real World,,Mark   Watson,,4418,,Manning Publications,360,,,,"Enterprise software development is labor-intensive. And it is made more costly than necessasry by some of the most popular technologies which can be needlessly complex. The combination of Ruby and Ruby on Rails provides a simple, stable platform for cost-effective software development.<br /><br />The book quickly reviews Rails development and then move to essential enterprise subjects like Web Services (and their relationships with SOA), data persistence, messaging, interoperability with other platforms, handling documents and search, spell-checking, and report generation. It also covers new Web 2.0 technologies like Ajax and the read-write Web. It is rich in examples and covers numerous interesting topics readers will be surprised to see, such as advanced search with Ferret, how to access del.icio.us and Flickr from Ruby, or how to use Yahoo's general search from Ruby. The book closes with a look at the Semantic Web and why it makes sense to adopt semantic Web technologies."
The Bucaneers,"[{'id': '16', 'name': 'Edith Wharton', 'role': ''}, {'id': '296075', 'name': 'Marion Mainwaring', 'role': ''}]",Edith Wharton,,1483593,,Random House Value Publishing,,,,,"Wharton's final novel (completed by Marion Mainwaring after the author's death in 1937) revolves around American and British society in the 1870s. Told in large part through the eyes of American debutantes, the story portrays innocent, wide-eyed, almost ethereal girls who turn into socially conscious women with financial worries--unrecognizable even to themselves. The beginning sections quickly catch the listener's attention, with lush descriptions of rooms, clothes, and the heights of feminine beauty. We enter a world of intrigue: secrets, characters with past relationships that could prove fatal, and competition taken to its limits. Its literary value notwithstanding, this book might appeal to soap opera and romance fans. For more attentive listeners, it quickly becomes disconcerting as more and more characters with awkward British-sounding names are added. It's increasingly difficult to recall who's who without backing up the tape. Most libraries can pass on this one.-- Rochelle Ratner, formerly Poetry Editor, ""Soho Weekly News"", New York"
Bucaneer,,Luther Butler,,4420,,,,,,,
"Hatchet (Brian's Saga, #1)",,Gary Paulsen,eng,1158125,,Atheneum Books for Young Readers: Richard Jackson Books,208,62223,Brian's Saga,1,"Brian is on his way to Canada to visit his estranged father when the pilot of his small prop plane suffers a heart attack. Brian is forced to crash-land the plane in a lake--and finds himself stranded in the remote Canadian wilderness with only his clothing and the hatchet his mother gave him as a present before his departure. <br /><br />Brian had been distraught over his parents' impending divorce and the secret he carries about his mother, but now he is truly desolate and alone. Exhausted, terrified, and hungry, Brian struggles to find food and make a shelter for himself. He has no special knowledge of the woods, and he must find a new kind of awareness and patience as he meets each day's challenges. Is the water safe to drink? Are the berries he finds poisonous? <br /><br />Slowly, Brian learns to turn adversity to his advantage--an invading porcupine unexpectedly shows him how to make fire, a devastating tornado shows him how to retrieve supplies from the submerged airplane. Most of all, Brian leaves behind the self-pity he has felt about his predicament as he summons the courage to stay alive. <br /><br />A story of survival and of transformation, this riveting book has sparked many a reader's interest in venturing into the wild."
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom","[{'id': '3334802', 'name': 'Donna Ickes', 'role': ''}, {'id': '7584288', 'name': 'Edward Sciranko', 'role': ''}, {'id': '152316', 'name': 'Keith Vasconcelles', 'role': 'Illustrator'}]",Donna Ickes,eng,2353263,,Teacher Created Resources,48,,,,"This resource is directly related to its literature equivalent and filled with a variety of cross-curricular lessons to do before, during, and after reading the book. This reproducible book presents an exciting approach to teaching well-known literature! It includes sample plans, author information, vocabulary building ideas, cross-curriculum activities, sectional activities and quizzes, unit tests, and many ideas for culminating and extending the novel."
El hacha,,Gary Paulsen,spa,1158125,,Noguer y Caralt Editores / Lectorum Publications,,62223,Brian's Saga,1,"Brian viaja en una avioneta como único pasajero. Va a reunirse con su padre que trabaja en unos campos petrolíferos. De repente, el piloto sufre un ataque cardiaco, muere, y la avioneta se precipita en las aguas del lago. Brian no tiene nada más que el hacha, que le regaló su madre al despedirse, para luchar e intentar sobrevivir."
Guts: The True Stories behind Hatchet and the Brian Books,,Gary Paulsen,eng,67763,,Delacorte Press,144,62223,Brian's Saga,,"Guess what -- Gary Paulsen was being kind to Brian. In ""Guts"", Gary tells the real stories behind the Brian books, the stories of the adventures that inspired him to write Brian Robeson's story: working as an emergency volunteer; the death that inspired the pilot's death in ""Hatchet""; plane crashes he has seen and near-misses of his own. He describes how he made his own bows and arrows, and takes readers on his first hunting trips, showing the wonder and solace of nature along with his hilarious mishaps and mistakes. He shares special memories, such as the night he attracted every mosquito in the county, or how he met the moose with a sense of humor, and the moose who made it personal. There's a handy chapter on ""Eating Eyeballs and Guts or Starving: The Fine Art of Wilderness Nutrition"". Recipes included. Readers may wonder how Gary Paulsen survived to write all of his books -- well, it took guts."
Molly Hatchet - 5 of the Best,,Molly Hatchet,eng,4423,,Cherry Lane Music Company,56,,,,"(Play It Like It Is). Molly Hatchet is one of the classic Southern Rock bands, along with Lynyrd Skynyrd. They feature a three-guitar attack that has helped define rockin' boogie music. This songbook features five killer tunes transcribed in notes and tab exactly as recorded: <br />* Beatin' the Odds <br />* Bounty Hunter <br />* Flirtin' with Disaster <br />* Gator Country <br />* Whiskey Man."
Hatchet Jobs: Writings on Contemporary Fiction,,Dale Peck,en-US,4424,,The New Press,228,,,,"Since the initial publication of <i>Hatchet Jobs</i>, the groves of literary criticism have echoed with the clatter of steel on wood. From heated panels at Book Expo in Chicago to contretemps at writers’ watering holes in New York, voices—even fists—have been raised.<br /><br />Peck’s bracing philippic proposes that contemporary literature is at a dead end. Novelists have forfeited a wider audience, succumbing to identity politicking and self-reflexive postmodernism. In the torrent of responses to this fulguration, opinions were not so much divided as cleaved in two with, for example, Carlin Romano contending that “Peck’s judgments are worse than nasty—they are hysterical” and Benjamin Schwarz retorting that “in his meticulous attention to diction, his savage wit, his exact and rollicking prose and his disdain for pseudointellectual flatulence, Dale Peck is Mencken’s heir.”<br /><br /><i>Hatchet Jobs</i> includes swinging critiques of the work of, among others, Sven Birkerts, Julian Barnes, Philip Roth, Colson Whitehead, Jim Crace, Stanley Crouch, and Rick Moody.<br /><br /><br />"
A Changeling for All Seasons (Changeling Seasons #1),"[{'id': '23', 'name': 'Angela Knight', 'role': ''}, {'id': '16158', 'name': 'Sahara Kelly', 'role': ''}, {'id': '16159', 'name': 'Judy Mays', 'role': ''}, {'id': '16160', 'name': 'Marteeka Karland', 'role': ''}, {'id': '16155', 'name': 'Kate Douglas', 'role': ''}, {'id': '16156', 'name': 'Shelby Morgen', 'role': ''}, {'id': '16162', 'name': 'Lacey Savage', 'role': ''}, {'id': '16157', 'name': 'Kate Hill', 'role': ''}, {'id': '16161', 'name': 'Willa Okati', 'role': ''}]",Angela Knight,eng,4426,,Changeling Press,304,245922,Changeling Seasons,1,"""A Changeling for All Seasons"" Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long!<br /><br />Angela Knight - A Vampire Christmas<br />Sahara Kelly - A Christmas Pageant<br />Judy Mays - Jingle Balls<br />Marteeka Karland - Sealed with a Kiss<br />Kate Douglas - My Valentine<br />Shelby Morgen - Changeling<br />Willa Okati - Elven Enchantment<br />Kate Hill - Jolene's Pooka<br />Lacey Savage - Chemistry to Burn<br />Shelby Morgen - Troll under the Bridge<br /><br />Filled with the unexpected, ""A Changeling for All Seasons"" offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless."
"Changeling (Changeling, #1)",,Delia Sherman,eng,4427,,Viking Juvenile,256,95316,Changeling,1,"Neef is a changeling, a human baby stolen by fairies and replaced with one of their own. She lives in ""New York Between,"" a Manhattan alongside our own, home to creatures of folklore. Protected by her fairy godmother until she breaks a Fairy Law, now she must face the challenge of the Green Lady of Central Park or be sacrificed! Neef is determined, but time is running out."
